academic_year,application_stage,gender_group,count,percent_of_stage_total,source_table
2018-2019,Matriculants,Another Gender Identity or Not Reported,8,0.04,FACTS Chart 3
2019-2020,Matriculants,All,21869,100.0,FACTS Chart 3
2019-2020,Matriculants,Men,10402,47.57,FACTS Chart 3
2019-2020,Matriculants,Women,11461,52.41,FACTS Chart 3
2019-2020,Matriculants,Another Gender Identity or Not Reported,6,0.03,FACTS Chart 3
2020-2021,Matriculants,All,22239,100.0,FACTS Chart 3
2020-2021,Matriculants,Men,10271,46.18,FACTS Chart 3
2020-2021,Matriculants,Women,11926,53.63,FACTS Chart 3
2020-2021,Matriculants,Another Gender Identity or Not Reported,42,0.19,FACTS Chart 3
2021-2022,Matriculants,All,22666,100.0,FACTS Chart 3
2021-2022,Matriculants,Men,10057,44.37,FACTS Chart 3
2021-2022,Matriculants,Women,12590,55.55,FACTS Chart 3
2021-2022,Matriculants,Another Gender Identity or Not Reported,19,0.08,FACTS Chart 3
2022-2023,Matriculants,All,22710,100.0,FACTS Chart 3
2022-2023,Matriculants,Men,10060,44.3,FACTS Chart 3
2022-2023,Matriculants,Women,12630,55.61,FACTS Chart 3
2022-2023,Matriculants,Another Gender Identity or Not Reported,20,0.09,FACTS Chart 3
2023-2024,Matriculants,All,22980,100.0,FACTS Chart 3
2023-2024,Matriculants,Men,10160,44.21,FACTS Chart 3
2023-2024,Matriculants,Women,12723,55.37,FACTS Chart 3
2023-2024,Matriculants,Another Gender Identity or Not Reported,97,0.42,FACTS Chart 3
2024-2025,Matriculants,All,23156,100.0,FACTS Chart 3
2024-2025,Matriculants,Men,10261,44.31,FACTS Chart 3
2024-2025,Matriculants,Women,12749,55.06,FACTS Chart 3
2024-2025,Matriculants,Another Gender Identity or Not Reported,146,0.63,FACTS Chart 3
2025-2026,Matriculants,All,23441,100.0,FACTS Chart 3
2025-2026,Matriculants,Men,10410,44.41,FACTS Chart 3
2025-2026,Matriculants,Women,12900,55.03,FACTS Chart 3
2025-2026,Matriculants,Another Gender Identity or Not Reported,131,0.56,FACTS Chart 3
