region,entity_name,entity_type,academic_year,applicants,matriculants,matriculation_rate_percent
Central,Indiana,state_or_territory,2021-2022,938,410,43.71
Central,Indiana,state_or_territory,2022-2023,868,392,45.16
Central,Indiana,state_or_territory,2023-2024,792,360,45.45
Central,Indiana,state_or_territory,2024-2025,697,411,58.97
Central,Indiana,state_or_territory,2025-2026,730,393,53.84
Central,Iowa,state_or_territory,2016-2017,413,141,34.14
Central,Iowa,state_or_territory,2017-2018,363,151,41.6
Central,Iowa,state_or_territory,2018-2019,386,141,36.53
Central,Iowa,state_or_territory,2019-2020,368,128,34.78
Central,Iowa,state_or_territory,2020-2021,352,141,40.06
Central,Iowa,state_or_territory,2021-2022,368,136,36.96
Central,Iowa,state_or_territory,2022-2023,334,151,45.21
Central,Iowa,state_or_territory,2023-2024,328,148,45.12
Central,Iowa,state_or_territory,2024-2025,327,145,44.34
Central,Iowa,state_or_territory,2025-2026,327,144,44.04
Central,Kansas,state_or_territory,2016-2017,571,234,40.98
Central,Kansas,state_or_territory,2017-2018,560,235,41.96
Central,Kansas,state_or_territory,2018-2019,577,245,42.46
Central,Kansas,state_or_territory,2019-2020,524,222,42.37
Central,Kansas,state_or_territory,2020-2021,545,236,43.3
Central,Kansas,state_or_territory,2021-2022,595,231,38.82
Central,Kansas,state_or_territory,2022-2023,497,211,42.45
Central,Kansas,state_or_territory,2023-2024,465,215,46.24
Central,Kansas,state_or_territory,2024-2025,468,231,49.36
Central,Kansas,state_or_territory,2025-2026,459,224,48.8
Central,Michigan,state_or_territory,2016-2017,1912,808,42.26
Central,Michigan,state_or_territory,2017-2018,1888,792,41.95
Central,Michigan,state_or_territory,2018-2019,2066,794,38.43
Central,Michigan,state_or_territory,2019-2020,1974,811,41.08
Central,Michigan,state_or_territory,2020-2021,2003,842,42.04
Central,Michigan,state_or_territory,2021-2022,2280,817,35.83
Central,Michigan,state_or_territory,2022-2023,2037,836,41.04
Central,Michigan,state_or_territory,2023-2024,1888,842,44.6
Central,Michigan,state_or_territory,2024-2025,1867,835,44.72
Central,Michigan,state_or_territory,2025-2026,1918,830,43.27
Central,Minnesota,state_or_territory,2016-2017,969,405,41.8
Central,Minnesota,state_or_territory,2017-2018,971,410,42.22
Central,Minnesota,state_or_territory,2018-2019,1006,385,38.27
Central,Minnesota,state_or_territory,2019-2020,997,418,41.93
Central,Minnesota,state_or_territory,2020-2021,1002,412,41.12
Central,Minnesota,state_or_territory,2021-2022,1198,403,33.64
Central,Minnesota,state_or_territory,2022-2023,1015,408,40.2
Central,Minnesota,state_or_territory,2023-2024,975,412,42.26
Central,Minnesota,state_or_territory,2024-2025,879,385,43.8
Central,Minnesota,state_or_territory,2025-2026,954,418,43.82
Central,Missouri,state_or_territory,2016-2017,751,312,41.54
Central,Missouri,state_or_territory,2017-2018,729,302,41.43
Central,Missouri,state_or_territory,2018-2019,724,310,42.82
Central,Missouri,state_or_territory,2019-2020,771,332,43.06
Central,Missouri,state_or_territory,2020-2021,733,326,44.47
Central,Missouri,state_or_territory,2021-2022,921,356,38.65
Central,Missouri,state_or_territory,2022-2023,825,387,46.91
Central,Missouri,state_or_territory,2023-2024,740,374,50.54
Central,Missouri,state_or_territory,2024-2025,713,346,48.53
Central,Missouri,state_or_territory,2025-2026,757,370,48.88
Central,Nebraska,state_or_territory,2016-2017,321,141,43.93
Central,Nebraska,state_or_territory,2017-2018,310,149,48.06
