application_stage,gender,measure,academic_year,value,source_table
Matriculants,Another Gender Identity,number,2024-2025,123,A-7.2
Matriculants,Another Gender Identity,number,2025-2026,106,A-7.2
Matriculants,Another Gender Identity,percent,2016-2017,,A-7.2
Matriculants,Another Gender Identity,percent,2017-2018,,A-7.2
Matriculants,Another Gender Identity,percent,2018-2019,,A-7.2
Matriculants,Another Gender Identity,percent,2019-2020,,A-7.2
Matriculants,Another Gender Identity,percent,2020-2021,,A-7.2
Matriculants,Another Gender Identity,percent,2021-2022,,A-7.2
Matriculants,Another Gender Identity,percent,2022-2023,,A-7.2
Matriculants,Another Gender Identity,percent,2023-2024,0.4,A-7.2
Matriculants,Another Gender Identity,percent,2024-2025,0.5,A-7.2
Matriculants,Another Gender Identity,percent,2025-2026,0.5,A-7.2
Matriculants,Total,number,2016-2017,21030,A-7.2
Matriculants,Total,number,2017-2018,21338,A-7.2
Matriculants,Total,number,2018-2019,21622,A-7.2
Matriculants,Total,number,2019-2020,21869,A-7.2
Matriculants,Total,number,2020-2021,22239,A-7.2
Matriculants,Total,number,2021-2022,22666,A-7.2
Matriculants,Total,number,2022-2023,22710,A-7.2
Matriculants,Total,number,2023-2024,22980,A-7.2
Matriculants,Total,number,2024-2025,23156,A-7.2
Matriculants,Total,number,2025-2026,23440,A-7.2
