school_name,source,source_url
Tulane University School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
USF Health Morsani College of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
Universidad Central del Caribe School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Alabama at Birmingham Marnix E. Heersink School of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Arizona College of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Arizona College of Medicine - Phoenix,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
University of Arkansas for Medical Sciences College of Medicine,AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
"University of California, Davis, School of Medicine",AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
"University of California, Irvine, School of Medicine",AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
"University of California, Los Angeles David Geffen School of Medicine",AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
"University of California, Riverside School of Medicine",AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
"University of California, San Diego School of Medicine",AAMC AMCAS Participating Medical Schools,https://students-residents.aamc.org/applying-medical-school-amcas/amcas-program-participating-medical-schools-and-deadlines
