source_table,population,academic_year,major,metric,statistic,value
A-17,Matriculants,2025-2026,Physical Sciences,Total Matriculants,Count,2175.0
A-17,Matriculants,2025-2026,Social Sciences,MCAT CPBS,Mean,127.7
A-17,Matriculants,2025-2026,Social Sciences,MCAT CPBS,SD,2.3
A-17,Matriculants,2025-2026,Social Sciences,MCAT CARS,Mean,127.3
A-17,Matriculants,2025-2026,Social Sciences,MCAT CARS,SD,2.3
A-17,Matriculants,2025-2026,Social Sciences,MCAT BBLS,Mean,127.8
A-17,Matriculants,2025-2026,Social Sciences,MCAT BBLS,SD,2.1
A-17,Matriculants,2025-2026,Social Sciences,MCAT PSBB,Mean,129.3
A-17,Matriculants,2025-2026,Social Sciences,MCAT PSBB,SD,1.9
A-17,Matriculants,2025-2026,Social Sciences,Total MCAT,Mean,512.2
A-17,Matriculants,2025-2026,Social Sciences,Total MCAT,SD,6.4
A-17,Matriculants,2025-2026,Social Sciences,GPA Science,Mean,3.7
A-17,Matriculants,2025-2026,Social Sciences,GPA Science,SD,0.29
A-17,Matriculants,2025-2026,Social Sciences,GPA Non-Science,Mean,3.85
A-17,Matriculants,2025-2026,Social Sciences,GPA Non-Science,SD,0.2
A-17,Matriculants,2025-2026,Social Sciences,GPA Total,Mean,3.78
A-17,Matriculants,2025-2026,Social Sciences,GPA Total,SD,0.22
A-17,Matriculants,2025-2026,Social Sciences,Total Matriculants,Count,2014.0
A-17,Matriculants,2025-2026,Specialized Health Sciences,MCAT CPBS,Mean,127.6
A-17,Matriculants,2025-2026,Specialized Health Sciences,MCAT CPBS,SD,2.2
A-17,Matriculants,2025-2026,Specialized Health Sciences,MCAT CARS,Mean,126.8
A-17,Matriculants,2025-2026,Specialized Health Sciences,MCAT CARS,SD,2.3
A-17,Matriculants,2025-2026,Specialized Health Sciences,MCAT BBLS,Mean,127.8
A-17,Matriculants,2025-2026,Specialized Health Sciences,MCAT BBLS,SD,2.1
A-17,Matriculants,2025-2026,Specialized Health Sciences,MCAT PSBB,Mean,128.9
A-17,Matriculants,2025-2026,Specialized Health Sciences,MCAT PSBB,SD,1.9
A-17,Matriculants,2025-2026,Specialized Health Sciences,Total MCAT,Mean,511.1
A-17,Matriculants,2025-2026,Specialized Health Sciences,Total MCAT,SD,6.4
A-17,Matriculants,2025-2026,Specialized Health Sciences,GPA Science,Mean,3.74
