source_table,population,academic_year,gender,metric,statistic,value
A-22,Matriculants,2022-2023,Men,MCAT BBLS,Mean,128.6
A-22,Matriculants,2022-2023,Men,MCAT BBLS,SD,2.0
A-22,Matriculants,2022-2023,Men,MCAT PSBB,Mean,128.9
A-22,Matriculants,2022-2023,Men,MCAT PSBB,SD,2.0
A-22,Matriculants,2022-2023,Men,Total MCAT,Mean,512.7
A-22,Matriculants,2022-2023,Men,Total MCAT,SD,6.6
A-22,Matriculants,2022-2023,Men,GPA Science,Mean,3.7
A-22,Matriculants,2022-2023,Men,GPA Science,SD,0.31
A-22,Matriculants,2022-2023,Men,GPA Non-Science,Mean,3.81
A-22,Matriculants,2022-2023,Men,GPA Non-Science,SD,0.24
A-22,Matriculants,2022-2023,Men,GPA Total,Mean,3.75
A-22,Matriculants,2022-2023,Men,GPA Total,SD,0.26
A-22,Matriculants,2022-2023,Men,Total Matriculants,Count,10060.0
A-22,Matriculants,2022-2023,Women,MCAT CPBS,Mean,127.5
A-22,Matriculants,2022-2023,Women,MCAT CPBS,SD,2.2
A-22,Matriculants,2022-2023,Women,MCAT CARS,Mean,127.0
A-22,Matriculants,2022-2023,Women,MCAT CARS,SD,2.4
A-22,Matriculants,2022-2023,Women,MCAT BBLS,Mean,127.9
A-22,Matriculants,2022-2023,Women,MCAT BBLS,SD,2.1
A-22,Matriculants,2022-2023,Women,MCAT PSBB,Mean,128.9
A-22,Matriculants,2022-2023,Women,MCAT PSBB,SD,2.0
A-22,Matriculants,2022-2023,Women,Total MCAT,Mean,511.3
A-22,Matriculants,2022-2023,Women,Total MCAT,SD,6.8
A-22,Matriculants,2022-2023,Women,GPA Science,Mean,3.67
A-22,Matriculants,2022-2023,Women,GPA Science,SD,0.31
A-22,Matriculants,2022-2023,Women,GPA Non-Science,Mean,3.86
A-22,Matriculants,2022-2023,Women,GPA Non-Science,SD,0.18
A-22,Matriculants,2022-2023,Women,GPA Total,Mean,3.76
A-22,Matriculants,2022-2023,Women,GPA Total,SD,0.23
A-22,Matriculants,2022-2023,Women,Total Matriculants,Count,12630.0
A-22,Matriculants,2022-2023,All,MCAT CPBS,Mean,127.9
A-22,Matriculants,2022-2023,All,MCAT CPBS,SD,2.2
A-22,Matriculants,2022-2023,All,MCAT CARS,Mean,126.9
A-22,Matriculants,2022-2023,All,MCAT CARS,SD,2.4
A-22,Matriculants,2022-2023,All,MCAT BBLS,Mean,128.2
A-22,Matriculants,2022-2023,All,MCAT BBLS,SD,2.1
A-22,Matriculants,2022-2023,All,MCAT PSBB,Mean,128.9
A-22,Matriculants,2022-2023,All,MCAT PSBB,SD,2.0
A-22,Matriculants,2022-2023,All,Total MCAT,Mean,511.9
A-22,Matriculants,2022-2023,All,Total MCAT,SD,6.7
A-22,Matriculants,2022-2023,All,GPA Science,Mean,3.68
A-22,Matriculants,2022-2023,All,GPA Science,SD,0.31
A-22,Matriculants,2022-2023,All,GPA Non-Science,Mean,3.84
A-22,Matriculants,2022-2023,All,GPA Non-Science,SD,0.21
A-22,Matriculants,2022-2023,All,GPA Total,Mean,3.75
A-22,Matriculants,2022-2023,All,GPA Total,SD,0.24
A-22,Matriculants,2022-2023,All,Total Matriculants,Count,22690.0
A-22,Matriculants,2023-2024,Men,MCAT CPBS,Mean,128.4
A-22,Matriculants,2023-2024,Men,MCAT CPBS,SD,2.2
A-22,Matriculants,2023-2024,Men,MCAT CARS,Mean,127.0
A-22,Matriculants,2023-2024,Men,MCAT CARS,SD,2.4
A-22,Matriculants,2023-2024,Men,MCAT BBLS,Mean,128.5
A-22,Matriculants,2023-2024,Men,MCAT BBLS,SD,2.1
A-22,Matriculants,2023-2024,Men,MCAT PSBB,Mean,128.9
A-22,Matriculants,2023-2024,Men,MCAT PSBB,SD,2.0
A-22,Matriculants,2023-2024,Men,Total MCAT,Mean,512.7
A-22,Matriculants,2023-2024,Men,Total MCAT,SD,6.8
A-22,Matriculants,2023-2024,Men,GPA Science,Mean,3.72
A-22,Matriculants,2023-2024,Men,GPA Science,SD,0.29
A-22,Matriculants,2023-2024,Men,GPA Non-Science,Mean,3.83
A-22,Matriculants,2023-2024,Men,GPA Non-Science,SD,0.22
A-22,Matriculants,2023-2024,Men,GPA Total,Mean,3.77
A-22,Matriculants,2023-2024,Men,GPA Total,SD,0.24
A-22,Matriculants,2023-2024,Men,Total Matriculants,Count,10160.0
A-22,Matriculants,2023-2024,Women,MCAT CPBS,Mean,127.4
A-22,Matriculants,2023-2024,Women,MCAT CPBS,SD,2.2
A-22,Matriculants,2023-2024,Women,MCAT CARS,Mean,127.0
A-22,Matriculants,2023-2024,Women,MCAT CARS,SD,2.4
A-22,Matriculants,2023-2024,Women,MCAT BBLS,Mean,127.7
A-22,Matriculants,2023-2024,Women,MCAT BBLS,SD,2.1
A-22,Matriculants,2023-2024,Women,MCAT PSBB,Mean,128.8
A-22,Matriculants,2023-2024,Women,MCAT PSBB,SD,2.1
A-22,Matriculants,2023-2024,Women,Total MCAT,Mean,510.9
A-22,Matriculants,2023-2024,Women,Total MCAT,SD,6.8
A-22,Matriculants,2023-2024,Women,GPA Science,Mean,3.7
A-22,Matriculants,2023-2024,Women,GPA Science,SD,0.3
A-22,Matriculants,2023-2024,Women,GPA Non-Science,Mean,3.87
A-22,Matriculants,2023-2024,Women,GPA Non-Science,SD,0.17
A-22,Matriculants,2023-2024,Women,GPA Total,Mean,3.78
A-22,Matriculants,2023-2024,Women,GPA Total,SD,0.23
A-22,Matriculants,2023-2024,Women,Total Matriculants,Count,12723.0
A-22,Matriculants,2023-2024,All,MCAT CPBS,Mean,127.8
A-22,Matriculants,2023-2024,All,MCAT CPBS,SD,2.3
A-22,Matriculants,2023-2024,All,MCAT CARS,Mean,127.0
A-22,Matriculants,2023-2024,All,MCAT CARS,SD,2.4
A-22,Matriculants,2023-2024,All,MCAT BBLS,Mean,128.1
A-22,Matriculants,2023-2024,All,MCAT BBLS,SD,2.1
A-22,Matriculants,2023-2024,All,MCAT PSBB,Mean,128.9
A-22,Matriculants,2023-2024,All,MCAT PSBB,SD,2.0
A-22,Matriculants,2023-2024,All,Total MCAT,Mean,511.7
A-22,Matriculants,2023-2024,All,Total MCAT,SD,6.9
A-22,Matriculants,2023-2024,All,GPA Science,Mean,3.71
A-22,Matriculants,2023-2024,All,GPA Science,SD,0.3
A-22,Matriculants,2023-2024,All,GPA Non-Science,Mean,3.85
A-22,Matriculants,2023-2024,All,GPA Non-Science,SD,0.2
A-22,Matriculants,2023-2024,All,GPA Total,Mean,3.77
A-22,Matriculants,2023-2024,All,GPA Total,SD,0.23
A-22,Matriculants,2023-2024,All,Total Matriculants,Count,22883.0
A-22,Matriculants,2024-2025,Men,MCAT CPBS,Mean,128.3
A-22,Matriculants,2024-2025,Men,MCAT CPBS,SD,2.2
A-22,Matriculants,2024-2025,Men,MCAT CARS,Mean,126.9
A-22,Matriculants,2024-2025,Men,MCAT CARS,SD,2.3
A-22,Matriculants,2024-2025,Men,MCAT BBLS,Mean,128.5
A-22,Matriculants,2024-2025,Men,MCAT BBLS,SD,2.1
A-22,Matriculants,2024-2025,Men,MCAT PSBB,Mean,128.9
A-22,Matriculants,2024-2025,Men,MCAT PSBB,SD,2.0
A-22,Matriculants,2024-2025,Men,Total MCAT,Mean,512.6
A-22,Matriculants,2024-2025,Men,Total MCAT,SD,6.7
A-22,Matriculants,2024-2025,Men,GPA Science,Mean,3.74
A-22,Matriculants,2024-2025,Men,GPA Science,SD,0.29
A-22,Matriculants,2024-2025,Men,GPA Non-Science,Mean,3.84
A-22,Matriculants,2024-2025,Men,GPA Non-Science,SD,0.22
A-22,Matriculants,2024-2025,Men,GPA Total,Mean,3.78
A-22,Matriculants,2024-2025,Men,GPA Total,SD,0.24
A-22,Matriculants,2024-2025,Men,Total Matriculants,Count,10261.0
A-22,Matriculants,2024-2025,Women,MCAT CPBS,Mean,127.5
A-22,Matriculants,2024-2025,Women,MCAT CPBS,SD,2.2
A-22,Matriculants,2024-2025,Women,MCAT CARS,Mean,126.9
A-22,Matriculants,2024-2025,Women,MCAT CARS,SD,2.3
A-22,Matriculants,2024-2025,Women,MCAT BBLS,Mean,127.8
A-22,Matriculants,2024-2025,Women,MCAT BBLS,SD,2.1
A-22,Matriculants,2024-2025,Women,MCAT PSBB,Mean,128.9
A-22,Matriculants,2024-2025,Women,MCAT PSBB,SD,2.0
A-22,Matriculants,2024-2025,Women,Total MCAT,Mean,511.1
A-22,Matriculants,2024-2025,Women,Total MCAT,SD,6.7
A-22,Matriculants,2024-2025,Women,GPA Science,Mean,3.72
A-22,Matriculants,2024-2025,Women,GPA Science,SD,0.29
A-22,Matriculants,2024-2025,Women,GPA Non-Science,Mean,3.89
A-22,Matriculants,2024-2025,Women,GPA Non-Science,SD,0.16
A-22,Matriculants,2024-2025,Women,GPA Total,Mean,3.8
A-22,Matriculants,2024-2025,Women,GPA Total,SD,0.22
A-22,Matriculants,2024-2025,Women,Total Matriculants,Count,12749.0
A-22,Matriculants,2024-2025,All,MCAT CPBS,Mean,127.9
A-22,Matriculants,2024-2025,All,MCAT CPBS,SD,2.3
A-22,Matriculants,2024-2025,All,MCAT CARS,Mean,126.9
A-22,Matriculants,2024-2025,All,MCAT CARS,SD,2.3
A-22,Matriculants,2024-2025,All,MCAT BBLS,Mean,128.1
A-22,Matriculants,2024-2025,All,MCAT BBLS,SD,2.1
A-22,Matriculants,2024-2025,All,MCAT PSBB,Mean,128.9
A-22,Matriculants,2024-2025,All,MCAT PSBB,SD,2.0
