region,entity_name,entity_type,academic_year,american_indian_or_alaska_native_applicants,american_indian_or_alaska_native_matriculants,american_indian_or_alaska_native_ratio_percent,asian_applicants,asian_matriculants,asian_ratio_percent,black_or_african_american_applicants,black_or_african_american_matriculants,black_or_african_american_ratio_percent,hispanic_or_latino_applicants,hispanic_or_latino_matriculants,hispanic_or_latino_ratio_percent,middle_eastern_or_north_african_applicants,middle_eastern_or_north_african_matriculants,middle_eastern_or_north_african_ratio_percent,native_hawaiian_or_pacific_islander_applicants,native_hawaiian_or_pacific_islander_matriculants,native_hawaiian_or_pacific_islander_ratio_percent,white_applicants,white_matriculants,white_ratio_percent,some_other_race_or_ethnicity_applicants,some_other_race_or_ethnicity_matriculants,some_other_race_or_ethnicity_ratio_percent,multiple_race_or_ethnicity_applicants,multiple_race_or_ethnicity_matriculants,multiple_race_or_ethnicity_ratio_percent,unknown_race_or_ethnicity_applicants,unknown_race_or_ethnicity_matriculants,unknown_race_or_ethnicity_ratio_percent,total_applicants,total_matriculants,overall_applicant_to_matriculant_ratio_percent,applicant_us_citizen_and_permanent_resident,applicant_non_us_citizen_and_non_permanent_resident,matriculant_us_citizen_and_permanent_resident,matriculant_non_us_citizen_and_non_permanent_resident
South,South Carolina,state_or_district,2025-2026,2,0,0.0,84,47,55.95,85,22,25.88,24,10,41.67,10,7,70.0,0,0,,363,217,59.78,0,0,,61,30,49.18,34,17,50.0,663,350,52.79,653,10,350,0
South,Tennessee,state_or_district,2025-2026,0,0,,147,89,60.54,114,22,19.3,25,10,40.0,70,31,44.29,0,0,,366,170,46.45,3,1,33.33,74,28,37.84,48,22,45.83,847,373,44.04,830,17,368,5
South,Texas,state_or_district,2025-2026,4,3,75.0,1830,820,44.81,630,165,26.19,374,119,31.82,117,44,37.61,5,1,20.0,1406,566,40.26,6,2,33.33,906,311,34.33,168,71,42.26,5446,2102,38.6,5384,62,2098,4
South,Virginia,state_or_district,2025-2026,1,1,100.0,501,219,43.71,182,47,25.82,52,16,30.77,94,35,37.23,0,0,,458,220,48.03,9,5,55.56,173,77,44.51,104,43,41.35,1574,663,42.12,1558,16,662,1
South,West Virginia,state_or_district,2025-2026,0,0,,12,7,58.33,10,3,30.0,4,1,25.0,12,8,66.67,0,0,,121,75,61.98,0,0,,16,8,50.0,9,6,66.67,184,108,58.7,181,3,107,1
West,Alaska,state_or_district,2025-2026,1,0,0.0,9,7,77.78,3,0,0.0,2,0,0.0,0,0,,0,0,,44,27,61.36,0,0,,14,10,71.43,4,1,25.0,77,45,58.44,77,0,45,0
West,Arizona,state_or_district,2025-2026,5,2,40.0,217,87,40.09,36,9,25.0,91,35,38.46,53,29,54.72,4,1,25.0,342,116,33.92,3,1,33.33,161,55,34.16,45,9,20.0,957,344,35.95,946,11,342,2
West,California,state_or_district,2025-2026,7,3,42.86,3031,1265,41.74,270,106,39.26,713,248,34.78,564,208,36.88,15,2,13.33,1093,491,44.92,62,16,25.81,1063,433,40.73,398,161,40.45,7216,2933,40.65,7108,108,2914,19
West,Colorado,state_or_district,2025-2026,2,1,50.0,102,45,44.12,28,6,21.43,30,8,26.67,16,5,31.25,0,0,,368,140,38.04,2,0,0.0,105,41,39.05,56,16,28.57,709,262,36.95,704,5,261,1
West,Hawaii,state_or_district,2025-2026,1,1,100.0,115,46,40.0,3,0,0.0,2,1,50.0,0,0,,9,1,11.11,17,6,35.29,1,1,100.0,68,29,42.65,14,6,42.86,230,91,39.57,229,1,91,0
West,Idaho,state_or_district,2025-2026,1,0,0.0,9,4,44.44,2,1,50.0,8,3,37.5,3,2,66.67,0,0,,127,63,49.61,0,0,,12,4,33.33,3,2,66.67,165,79,47.88,163,2,79,0
West,Montana,state_or_district,2025-2026,3,2,66.67,3,0,0.0,0,0,,1,1,100.0,0,0,,0,0,,114,49,42.98,0,0,,13,7,53.85,3,1,33.33,137,60,43.8,137,0,60,0
West,Nevada,state_or_district,2025-2026,0,0,,106,53,50.0,16,7,43.75,27,13,48.15,20,4,20.0,1,0,0.0,108,42,38.89,2,2,100.0,54,23,42.59,12,3,25.0,346,147,42.49,345,1,147,0
West,New Mexico,state_or_district,2025-2026,4,1,25.0,21,13,61.9,7,2,28.57,39,19,48.72,10,4,40.0,0,0,,66,28,42.42,2,2,100.0,54,29,53.7,11,6,54.55,214,104,48.6,210,4,102,2
West,Oregon,state_or_district,2025-2026,6,3,50.0,121,53,43.8,14,11,78.57,29,10,34.48,12,2,16.67,0,0,,210,91,43.33,1,0,0.0,92,33,35.87,21,4,19.05,506,207,40.91,502,4,205,2
West,Utah,state_or_district,2025-2026,3,1,33.33,46,12,26.09,5,2,40.0,31,14,45.16,4,2,50.0,3,2,66.67,464,170,36.64,2,1,50.0,48,14,29.17,31,12,38.71,637,230,36.11,628,9,229,1
West,Washington,state_or_district,2025-2026,5,1,20.0,297,140,47.14,45,20,44.44,50,16,32.0,35,11,31.43,5,3,60.0,377,158,41.91,6,4,66.67,164,71,43.29,67,23,34.33,1051,447,42.53,1042,9,446,1
West,Wyoming,state_or_district,2025-2026,1,0,0.0,0,0,,0,0,,1,1,100.0,0,0,,0,0,,36,24,66.67,0,0,,3,3,100.0,3,2,66.67,44,30,68.18,44,0,30,0
