undergraduate_institution,institution_name,city,state_or_province,total_applicants,listed_in_overall_50_plus_table,black_or_african_american_applicants,black_or_african_american_share_of_institution_pct,black_or_african_american_pct_of_all_group_applicants_nationally,american_indian_or_alaska_native_applicants,american_indian_or_alaska_native_share_of_institution_pct,american_indian_or_alaska_native_pct_of_all_group_applicants_nationally,hispanic_or_latino_applicants,hispanic_or_latino_share_of_institution_pct,hispanic_or_latino_pct_of_all_group_applicants_nationally,asian_applicants,asian_share_of_institution_pct,asian_pct_of_all_group_applicants_nationally,white_applicants,white_share_of_institution_pct,white_pct_of_all_group_applicants_nationally,middle_eastern_or_north_african_applicants,middle_eastern_or_north_african_share_of_institution_pct,middle_eastern_or_north_african_pct_of_all_group_applicants_nationally,academic_year
"University of Toledo, Toledo, OH",University of Toledo,Toledo,OH,73,True,,,,,,,,,,,,,,,,,,,2025-2026
"Washington State University, Pullman, WA",Washington State University,Pullman,WA,73,True,,,,,,,10,13.7,0.1,,,,,,,,,,2025-2026
"Indiana University Indianapolis, Indianapolis, IN",Indiana University Indianapolis,Indianapolis,IN,72,True,,,,,,,,,,,,,,,,,,,2025-2026
"Rhodes College, Memphis, TN",Rhodes College,Memphis,TN,72,True,,,,,,,,,,,,,,,,,,,2025-2026
"Southern Methodist University, Dallas, TX",Southern Methodist University,Dallas,TX,71,True,,,,,,,,,,,,,,,,,,,2025-2026
"Spelman College, Atlanta, GA",Spelman College,Atlanta,GA,70,True,70,100.0,1.2,,,,,,,,,,,,,,,,2025-2026
"Augusta University, Augusta, GA",Augusta University,Augusta,GA,68,True,23,33.82,0.4,,,,,,,,,,,,,,,,2025-2026
"University of Michigan-Dearborn, Dearborn, MI",University of Michigan-Dearborn,Dearborn,MI,68,True,,,,,,,,,,,,,,,,44,64.71,1.2,2025-2026
"California State University-Long Beach, Long Beach, CA",California State University-Long Beach,Long Beach,CA,67,True,,,,,,,22,32.84,0.3,,,,,,,,,,2025-2026
"Kennesaw State University, Kennesaw, GA",Kennesaw State University,Kennesaw,GA,67,True,24,35.82,0.4,,,,,,,,,,,,,,,,2025-2026
"Massachusetts Institute of Technology, Cambridge, MA",Massachusetts Institute of Technology,Cambridge,MA,67,True,,,,,,,,,,,,,,,,,,,2025-2026
"Iowa State University, Ames, IA",Iowa State University,Ames,IA,66,True,,,,,,,,,,,,,,,,,,,2025-2026
"Oklahoma State University, Stillwater, OK",Oklahoma State University,Stillwater,OK,65,True,,,,18,27.69,2.7,,,,,,,,,,,,,2025-2026
"Hofstra University, Hempstead, NY",Hofstra University,Hempstead,NY,64,True,,,,,,,10,15.62,0.1,,,,,,,,,,2025-2026
"Kansas State University, Manhattan, KS",Kansas State University,Manhattan,KS,64,True,,,,,,,,,,,,,,,,,,,2025-2026
"Carnegie Mellon University, Pittsburgh, PA",Carnegie Mellon University,Pittsburgh,PA,62,True,,,,,,,,,,,,,,,,,,,2025-2026
"City University of New York Brooklyn College, Brooklyn, NY",City University of New York Brooklyn College,Brooklyn,NY,62,True,,,,,,,,,,,,,,,,,,,2025-2026
"Grand Valley State University, Allendale, MI",Grand Valley State University,Allendale,MI,62,True,,,,,,,,,,,,,,,,,,,2025-2026
"Middlebury College, Middlebury, VT",Middlebury College,Middlebury,VT,62,True,,,,,,,,,,,,,,,,,,,2025-2026
"University of Colorado Denver Anschutz Medical Campus, Aurora, CO",University of Colorado Denver Anschutz Medical Campus,Aurora,CO,61,True,,,,,,,15,24.59,0.2,,,,,,,,,,2025-2026
"University of Texas at El Paso, El Paso, TX",University of Texas at El Paso,El Paso,TX,61,True,,,,,,,54,88.52,0.8,,,,,,,,,,2025-2026
"Amherst College, Amherst, MA",Amherst College,Amherst,MA,60,True,16,26.67,0.3,,,,,,,,,,,,,,,,2025-2026
"California State University-Northridge, Northridge, CA",California State University-Northridge,Northridge,CA,60,True,,,,,,,19,31.67,0.3,,,,,,,19,31.67,0.5,2025-2026
"College of Charleston, Charleston, SC",College of Charleston,Charleston,SC,60,True,,,,,,,,,,,,,,,,,,,2025-2026
"Davidson College, Davidson, NC",Davidson College,Davidson,NC,59,True,,,,,,,,,,,,,,,,,,,2025-2026
"University of San Diego, San Diego, CA",University of San Diego,San Diego,CA,59,True,,,,,,,13,22.03,0.2,,,,,,,,,,2025-2026
"Wesleyan University, Middletown, CT",Wesleyan University,Middletown,CT,59,True,,,,,,,,,,,,,,,,,,,2025-2026
"Southern Adventist University, Collegedale, TN",Southern Adventist University,Collegedale,TN,58,True,,,,,,,17,29.31,0.2,,,,,,,,,,2025-2026
"University of Missouri-Kansas City, Kansas City, MO",University of Missouri-Kansas City,Kansas City,MO,57,True,,,,,,,,,,,,,,,,,,,2025-2026
"Colgate University, Hamilton, NY",Colgate University,Hamilton,NY,56,True,,,,,,,,,,,,,,,,,,,2025-2026
"The College Of New Jersey, Ewing, NJ",The College Of New Jersey,Ewing,NJ,56,True,,,,,,,,,,,,,,,,,,,2025-2026
"Gonzaga University, Spokane, WA",Gonzaga University,Spokane,WA,55,True,,,,,,,,,,,,,,,,,,,2025-2026
"Wellesley College, Wellesley, MA",Wellesley College,Wellesley,MA,55,True,,,,,,,,,,,,,,,,,,,2025-2026
"Bowdoin College, Brunswick, ME",Bowdoin College,Brunswick,ME,54,True,,,,,,,,,,,,,,,,,,,2025-2026
"Trinity University, San Antonio, TX",Trinity University,San Antonio,TX,54,True,,,,,,,,,,,,,,,,,,,2025-2026
"University of North Dakota, Grand Forks, ND",University of North Dakota,Grand Forks,ND,54,True,,,,,,,,,,,,,,,,,,,2025-2026
"Brigham Young University-Idaho, Rexburg, ID",Brigham Young University-Idaho,Rexburg,ID,53,True,,,,,,,,,,,,,,,,,,,2025-2026
"DePaul University, Chicago, IL",DePaul University,Chicago,IL,52,True,,,,,,,,,,,,,,,,,,,2025-2026
"Rowan University, Glassboro, NJ",Rowan University,Glassboro,NJ,52,True,,,,,,,10,19.23,0.1,,,,,,,,,,2025-2026
"Rutgers University - Newark, Newark, NJ",Rutgers University - Newark,Newark,NJ,52,True,,,,,,,11,21.15,0.2,,,,,,,,,,2025-2026
"University of California-Merced, Merced, CA",University of California-Merced,Merced,CA,52,True,,,,,,,23,44.23,0.3,,,,,,,,,,2025-2026
"St. Olaf College, Northfield, MN",St. Olaf College,Northfield,MN,51,True,,,,,,,,,,,,,,,,,,,2025-2026
"California State University-Fresno, Fresno, CA",California State University-Fresno,Fresno,CA,50,True,,,,,,,17,34.0,0.2,,,,,,,,,,2025-2026
"Louisiana Tech University, Ruston, LA",Louisiana Tech University,Ruston,LA,50,True,,,,,,,,,,,,,,,,,,,2025-2026
"Loyola Marymount University, Los Angeles, CA",Loyola Marymount University,Los Angeles,CA,50,True,,,,,,,13,26.0,0.2,,,,,,,,,,2025-2026
"Pomona College, Claremont, CA",Pomona College,Claremont,CA,50,True,,,,,,,,,,,,,,,,,,,2025-2026
"Seton Hall University, South Orange, NJ",Seton Hall University,South Orange,NJ,50,True,,,,,,,,,,,,,,,,,,,2025-2026
"University of Dayton, Dayton, OH",University of Dayton,Dayton,OH,50,True,,,,,,,,,,,,,,,,,,,2025-2026
"University of Nebraska at Omaha, Omaha, NE",University of Nebraska at Omaha,Omaha,NE,50,True,,,,,,,,,,,,,,,,,,,2025-2026
"University of Ottawa, Ottawa, ON",University of Ottawa,Ottawa,ON,50,True,,,,,,,,,,,,,,,,,,,2025-2026
"The Pontifical Catholic University of Puerto Rico, Ponce, PR",The Pontifical Catholic University of Puerto Rico,Ponce,PR,49,False,,,,,,,49,100.0,0.7,,,,,,,,,,2025-2026
"Utah Valley University, Orem, UT",Utah Valley University,Orem,UT,49,False,,,,,,,10,20.41,0.1,,,,,,,,,,2025-2026
"Grand Canyon University, Phoenix, AZ",Grand Canyon University,Phoenix,AZ,48,False,,,,,,,15,31.25,0.2,,,,,,,,,,2025-2026
"San Francisco State University, San Francisco, CA",San Francisco State University,San Francisco,CA,46,False,,,,,,,14,30.43,0.2,,,,,,,,,,2025-2026
"York University, Toronto, ON",York University,Toronto,ON,45,False,,,,,,,,,,,,,,,,17,37.78,0.5,2025-2026
"California State University-Fullerton, Fullerton, CA",California State University-Fullerton,Fullerton,CA,42,False,,,,,,,15,35.71,0.2,,,,,,,,,,2025-2026
"University of Puerto Rico at Cayey, Cayey, PR",University of Puerto Rico at Cayey,Cayey,PR,42,False,,,,,,,41,97.62,0.6,,,,,,,,,,2025-2026
"Florida Agricultural and Mechanical University, Tallahassee, FL",Florida Agricultural and Mechanical University,Tallahassee,FL,40,False,40,100.0,0.7,,,,,,,,,,,,,,,,2025-2026
"Old Dominion University, Norfolk, VA",Old Dominion University,Norfolk,VA,40,False,16,40.0,0.3,,,,,,,,,,,,,,,,2025-2026
"Towson University, Baltimore, MD",Towson University,Baltimore,MD,40,False,20,50.0,0.3,,,,,,,,,,,,,,,,2025-2026
"Middle Tennessee State University, Murfreesboro, TN",Middle Tennessee State University,Murfreesboro,TN,39,False,,,,,,,,,,,,,,,,15,38.46,0.4,2025-2026
"California State Polytechnic University-Pomona, Pomona, CA",California State Polytechnic University-Pomona,Pomona,CA,38,False,,,,,,,13,34.21,0.2,,,,,,,,,,2025-2026
"Florida Gulf Coast University, Fort Myers, FL",Florida Gulf Coast University,Fort Myers,FL,37,False,,,,,,,10,27.03,0.1,,,,,,,,,,2025-2026
"California State University-Los Angeles, Los Angeles, CA",California State University-Los Angeles,Los Angeles,CA,36,False,,,,,,,15,41.67,0.2,,,,,,,,,,2025-2026
"Oakwood University, Huntsville, AL",Oakwood University,Huntsville,AL,36,False,36,100.0,0.6,,,,,,,,,,,,,,,,2025-2026
"Georgia Southern University, Statesboro, GA",Georgia Southern University,Statesboro,GA,35,False,15,42.86,0.2,,,,,,,,,,,,,,,,2025-2026
"Tennessee State University, Nashville, TN",Tennessee State University,Nashville,TN,35,False,31,88.57,0.5,,,,,,,,,,,,,,,,2025-2026
"Hampton University, Hampton, VA",Hampton University,Hampton,VA,32,False,32,100.0,0.5,,,,,,,,,,,,,,,,2025-2026
"City University of New York Herbert H. Lehman College, Bronx, NY",City University of New York Herbert H. Lehman College,Bronx,NY,29,False,20,68.97,0.3,,,,,,,,,,,,,,,,2025-2026
"California Baptist University, Riverside, CA",California Baptist University,Riverside,CA,27,False,,,,,,,10,37.04,0.1,,,,,,,,,,2025-2026
"New Mexico State University-Main Campus, Las Cruces, NM",New Mexico State University-Main Campus,Las Cruces,NM,27,False,,,,,,,17,62.96,0.2,,,,,,,,,,2025-2026
"North Carolina Agricultural and Technical State University, Greensboro, NC",North Carolina Agricultural and Technical State University,Greensboro,NC,27,False,26,96.3,0.4,,,,,,,,,,,,,,,,2025-2026
"Prairie View A & M University, Prairie View, TX",Prairie View A & M University,Prairie View,TX,27,False,20,74.07,0.3,,,,,,,,,,,,,,,,2025-2026
"Morehouse College, Atlanta, GA",Morehouse College,Atlanta,GA,25,False,24,96.0,0.4,,,,,,,,,,,,,,,,2025-2026
"University of Puerto Rico at Bayamon, Bayamon, PR",University of Puerto Rico at Bayamon,Bayamon,PR,23,False,,,,,,,23,100.0,0.3,,,,,,,,,,2025-2026
"California State University-San Bernardino, San Bernardino, CA",California State University-San Bernardino,San Bernardino,CA,22,False,,,,,,,15,68.18,0.2,,,,,,,,,,2025-2026
"Texas A & M University-Corpus Christi, Corpus Christi, TX",Texas A & M University-Corpus Christi,Corpus Christi,TX,22,False,,,,,,,11,50.0,0.2,,,,,,,,,,2025-2026
"University of the Incarnate Word, San Antonio, TX",University of the Incarnate Word,San Antonio,TX,21,False,,,,,,,12,57.14,0.2,,,,,,,,,,2025-2026
"University of Puerto Rico at Arecibo, Arecibo, PR",University of Puerto Rico at Arecibo,Arecibo,PR,20,False,,,,,,,18,90.0,0.3,,,,,,,,,,2025-2026
"University of Puerto Rico-Aguadilla, Aguadilla, PR",University of Puerto Rico-Aguadilla,Aguadilla,PR,20,False,,,,,,,20,100.0,0.3,,,,,,,,,,2025-2026
"Univ of Puerto Rico-Ponce, Ponce, PR",Univ of Puerto Rico-Ponce,Ponce,PR,19,False,,,,,,,18,94.74,0.3,,,,,,,,,,2025-2026
"California State University-Monterey Bay, Seaside, CA",California State University-Monterey Bay,Seaside,CA,16,False,,,,,,,10,62.5,0.1,,,,,,,,,,2025-2026
"Tuskegee University, Tuskegee Inst., AL",Tuskegee University,Tuskegee Inst.,AL,16,False,16,100.0,0.3,,,,,,,,,,,,,,,,2025-2026
"Inter American University of Puerto Rico San German Campus, San German, PR",Inter American University of Puerto Rico San German Campus,San German,PR,15,False,,,,,,,14,93.33,0.2,,,,,,,,,,2025-2026
"St. Mary's University, San Antonio, TX",St. Mary's University,San Antonio,TX,13,False,,,,,,,10,76.92,0.1,,,,,,,,,,2025-2026
"University of Puerto Rico-Humacao, Humacao, PR",University of Puerto Rico-Humacao,Humacao,PR,11,False,,,,,,,11,100.0,0.2,,,,,,,,,,2025-2026
"Fort Lewis College, Durango, CO",Fort Lewis College,Durango,CO,8,False,,,,5,62.5,0.8,,,,,,,,,,,,,2025-2026
