indicator_group,indicator_name,indicator_short_name,indicator_structure,application_stage,academic_year,count,percent_of_total,total_people,source_table
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Applicants,2022-2023,6940,12.6,55189,A-27
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Applicants,2023-2024,7129,13.6,52577,A-27
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Applicants,2024-2025,7474,14.4,51946,A-27
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Applicants,2025-2026,8251,15.1,54699,A-27
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Acceptees,2022-2023,2752,11.6,23810,A-27
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Acceptees,2023-2024,3010,12.5,24014,A-27
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Acceptees,2024-2025,3029,12.5,24172,A-27
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Acceptees,2025-2026,3151,13,24300,A-27
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Matriculants,2022-2023,2639,11.6,22710,A-27
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Matriculants,2023-2024,2896,12.6,22980,A-27
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Matriculants,2024-2025,2892,12.5,23156,A-27
Financial Access,Applied Fee Assistance Program Benefits,Applied Fee Assistance Program Benefits,binary_status_indicator,Matriculants,2025-2026,3029,12.9,23440,A-27
